# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20120901-20121231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Unique Visitors,Avg. Time on Page,Pages / Visit,Visit Duration
/Science:Math_Exam_Resources/Courses/MATH104/December_2011,8861,4294,2005,00:00:46,11.43,290:52:51
/Science:Math_Exam_Resources/Courses/MATH104/December_2010,3954,2151,1222,00:00:52,12.63,130:55:28
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(a),1866,1666,1262,00:02:19,12.28,88:26:03
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(b),1830,1420,1060,00:04:07,20.33,30:24:47
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_3,1821,1625,1160,00:07:12,7.23,68:52:49
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_4,1784,1561,1111,00:07:04,6.39,67:04:37
/Science:Math_Exam_Resources/Courses/MATH104,1623,1302,818,00:00:31,5.45,86:38:09
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(c),1607,1250,981,00:02:54,17.66,28:35:06
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(c),1601,1427,1121,00:04:39,23.20,38:37:50
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(e),1566,1413,1091,00:05:55,21.16,33:11:29
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(f),1527,1230,967,00:04:57,17.76,31:32:30
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(a),1521,1307,1049,00:02:13,8.84,85:10:44
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(d),1521,1308,1029,00:04:49,17.09,15:36:42
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(j),1515,1364,1075,00:03:43,17.22,38:27:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(c),1480,1244,1010,00:03:49,33.64,18:37:33
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(e),1469,1182,952,00:03:57,33.39,22:46:30
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(g),1456,1322,1064,00:03:53,22.75,34:12:52
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(b),1455,1322,1071,00:02:10,16.17,52:36:56
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(f),1450,1325,1065,00:04:13,14.80,56:19:54
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(m),1443,1295,1055,00:04:25,28.29,20:29:34
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(d),1423,1182,949,00:02:16,15.99,26:30:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(a),1421,1270,1038,00:02:11,12.58,58:09:49
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(e),1412,1190,917,00:04:04,16.42,21:28:30
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(g),1408,1149,918,00:03:27,13.16,38:32:44
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(a),1405,1219,997,00:01:57,15.27,42:16:17
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(d),1399,1152,957,00:02:29,24.54,27:30:12
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(c),1389,1191,1007,00:02:14,33.88,16:52:45
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(d),1387,1285,1049,00:03:02,29.51,24:42:51
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(b),1379,1179,992,00:01:31,27.58,14:05:04
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(i),1357,1249,1037,00:03:37,34.79,18:00:06
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(h),1354,1248,1047,00:02:33,25.07,20:10:06
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(n),1350,1234,1031,00:04:27,19.29,28:30:43
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(k),1335,1206,1020,00:02:38,23.02,29:04:53
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(b),1328,1152,977,00:01:38,23.30,21:03:21
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(l),1310,1211,1021,00:02:13,35.41,16:10:42
/Science:Math_Exam_Resources/Courses/MATH100,1219,955,726,00:00:24,10.33,20:05:49
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_6,1078,950,734,00:07:08,7.49,14:33:13
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_1_(e),1076,937,768,00:05:05,18.55,26:26:56
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_3,1061,921,756,00:03:54,14.94,18:07:42
/Science:Math_Exam_Resources/Courses/MATH104/December_2010/Question_2_(b),1059,875,722,00:04:32,13.75,17:45:38
