# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20140901-20141231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH100,10398,6985,2930,00:01:01,2.31,1501:14:19
/Science:Math_Exam_Resources/Courses/MATH104,5751,3792,1806,00:00:55,2.81,322:43:33
/Science:Math_Exam_Resources/Courses/MATH100/December_2013,4343,2691,1486,00:01:08,11.16,151:40:59
/Science:Math_Exam_Resources/Courses/MATH102,4018,2727,1158,00:00:53,5.26,164:49:51
/Science:Math_Exam_Resources/Courses/MATH100/December_2012,3308,2025,1222,00:01:02,12.03,134:48:43
/Science:Math_Exam_Resources/Courses/MATH200/April_2012,3055,1499,818,00:01:03,3.00,472:03:32
/Science:Math_Exam_Resources/Courses/MATH100/December_2010,2591,1495,850,00:01:11,10.98,89:21:25
/Science:Math_Exam_Resources/Courses/MATH200/December_2011,2146,1268,700,00:01:11,3.33,270:10:07
/Science:Math_Exam_Resources/Courses/MATH100/December_2011,2126,1348,830,00:01:09,9.53,104:11:08
/Science:Math_Exam_Resources/Courses/MATH102/December_2013,1860,1000,539,00:01:02,9.84,85:58:02
/Science:Math_Exam_Resources/Courses/MATH104/December_2013,1724,1048,632,00:01:15,10.51,58:36:05
/Science:Math_Exam_Resources/Courses/MATH104/December_2012,1597,1152,748,00:01:01,11.49,46:55:29
/Science:Math_Exam_Resources/Courses/MATH221,1493,1084,570,00:00:41,3.62,129:03:33
/Science:Math_Exam_Resources/Courses/MATH200,1423,1025,661,00:00:51,9.55,16:13:32
/Science:Math_Exam_Resources/Courses/MATH102/December_2012,1369,864,539,00:01:04,11.31,66:01:48
/Science:Math_Exam_Resources/Courses/MATH110/December_2013,1350,718,385,00:01:09,4.38,149:08:47
/Science:Math_Exam_Resources/Courses/MATH110,1339,950,535,00:00:57,2.19,154:49:18
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_11,1254,1065,746,00:06:52,11.40,40:57:24
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_10_(b),1251,919,651,00:06:14,10.69,33:39:02
/Science:Math_Exam_Resources/Courses/MATH221/April_2013,1215,737,379,00:01:00,10.95,54:10:07
/Science:Math_Exam_Resources/Courses/MATH102/December_2011,1180,753,444,00:01:21,9.15,52:33:52
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_11,1163,980,686,00:07:16,10.38,56:44:46
/Science:Math_Exam_Resources/Courses/MATH215,1119,764,459,00:01:00,4.04,95:01:21
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_01_(a),1117,975,758,00:02:02,14.89,44:16:56
/Science:Math_Exam_Resources/Courses/MATH101,1066,786,506,00:00:54,2.43,55:36:51
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_05,1029,849,651,00:06:03,19.42,26:52:58
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_10_(a),963,765,601,00:03:12,19.65,24:12:37
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_04_(b),944,787,606,00:05:18,20.98,32:15:57
/Science:Math_Exam_Resources/Courses/MATH104/December_2010,932,600,412,00:00:58,12.94,18:56:17
/Science:Math_Exam_Resources/Courses/MATH200/April_2012/Question_01_(a),897,729,567,00:05:04,16.61,36:02:32
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_08_(a),892,732,567,00:03:40,17.84,33:40:52
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_08_(c),876,706,565,00:05:21,18.64,14:14:02
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_09,859,738,589,00:05:48,12.45,26:16:52
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_07,845,746,596,00:04:41,11.74,58:13:21
/Science:Math_Exam_Resources/Courses/MATH221/December_2011,843,511,298,00:01:00,13.82,39:38:01
/Science:Math_Exam_Resources/Courses/MATH104/December_2011,830,621,412,00:00:52,11.53,27:37:27
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_01_(a),826,729,597,00:02:37,11.32,44:31:05
/Science:Math_Exam_Resources/Courses/MATH100/December_2012/Question_07,809,701,567,00:07:20,11.90,46:21:20
/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_08_(b),803,642,517,00:03:11,42.26,19:17:48
/Science:Math_Exam_Resources/Courses/MATH110/December_2012,798,418,254,00:00:42,7.82,60:47:33
