# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20140501-20140902
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH101,1334,942,535,00:01:07,2.20,160:32:27
/Science:Math_Exam_Resources/Courses/MATH101/April_2013,627,403,253,00:01:02,8.83,34:00:40
/Science:Math_Exam_Resources/Courses/MATH100,508,361,263,00:00:44,3.88,17:27:38
/Science:Math_Exam_Resources/Courses/MATH100/December_2012,363,198,138,00:01:07,21.35,08:34:31
/Science:Math_Exam_Resources/Courses/MATH104,282,215,176,00:00:52,2.29,09:52:38
/Science:Math_Exam_Resources/Courses/MATH215,260,198,117,00:00:31,4.91,20:33:05
/Science:Math_Exam_Resources/Courses/MATH105,243,171,137,00:00:53,2.02,11:33:03
/Science:Math_Exam_Resources/Courses/MATH101/April_2011,241,162,100,00:00:44,14.18,04:17:49
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(a),241,202,139,00:02:49,6.89,10:58:02
/Science:Math_Exam_Resources/Courses/MATH200,235,158,122,00:00:23,18.08,02:47:35
/Science:Math_Exam_Resources/Courses/MATH221,223,162,112,00:01:08,3.23,10:43:39
/Science:Math_Exam_Resources/Courses/MATH101/April_2012,214,162,100,00:01:15,7.64,16:28:49
/Science:Math_Exam_Resources/Courses/MATH215/December_2013,212,136,87,00:00:44,19.27,05:27:37
/Science:Math_Exam_Resources/Courses/MATH104/December_2012,206,113,92,00:00:30,14.71,01:58:16
/Science:Math_Exam_Resources/Courses/MATH215/December_2011,202,120,69,00:01:05,14.43,09:22:18
/Science:Math_Exam_Resources/Courses/MATH103,193,143,83,00:00:56,2.38,04:58:28
/Science:Math_Exam_Resources/Courses/MATH221/April_2013,161,115,75,00:01:02,5.37,03:51:41
/Science:Math_Exam_Resources/Courses/MATH100/December_2010,159,94,61,00:00:50,8.37,04:04:29
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_12_(a),154,130,93,00:05:26,11.00,02:27:39
/Science:Math_Exam_Resources/Courses/MATH104/December_2011,146,76,53,00:00:23,10.43,03:12:14
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(a),130,123,94,00:04:46,14.44,02:40:02
/Science:Math_Exam_Resources/Courses/MATH105/April_2013,130,71,52,00:00:25,10.00,06:02:46
/Science:Math_Exam_Resources/Courses/MATH110,128,81,49,00:01:12,2.51,07:33:34
/Science:Math_Exam_Resources/Courses/MATH100/December_2011,127,72,47,00:01:12,15.88,06:39:49
/Science:Math_Exam_Resources/Courses/MATH101/April_2009,127,72,48,00:01:02,18.14,09:43:11
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(b),126,114,93,00:02:01,31.50,00:29:05
/Science:Math_Exam_Resources/Courses/MATH200/December_2011,124,88,77,00:00:55,0.00,00:00:00
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(a),123,93,75,00:04:46,9.46,08:20:28
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(b),123,88,72,00:04:30,11.18,06:54:15
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_10_(a),122,106,62,00:03:40,3.94,02:12:15
/Science:Math_Exam_Resources/Courses/MATH101/April_2010,117,89,62,00:01:05,13.00,04:11:29
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_03_(a),117,102,82,00:02:22,23.40,00:32:36
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_03_(b),117,106,80,00:03:37,10.64,05:51:46
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_06_(b),117,104,75,00:07:09,14.62,00:42:53
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_04_(a),114,97,75,00:05:58,11.40,06:20:23
