# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20130101-20130430
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Unique Visitors,Avg. Time on Page,Pages / Visit,Visit Duration
/Science:Math_Exam_Resources/Courses/MATH101,3633,2674,1273,00:00:44,3.57,341:01:45
/Science:Math_Exam_Resources/Courses/MATH105,3078,2292,1169,00:00:37,4.00,173:36:16
/Science:Math_Exam_Resources/Courses/MATH103,2885,2099,886,00:00:36,4.54,251:57:30
/Science:Math_Exam_Resources/Courses/MATH105/April_2012,2688,1591,875,00:01:07,9.02,155:28:19
/Science:Math_Exam_Resources/Courses/MATH103/April_2012,2289,1415,695,00:01:02,7.81,101:00:56
/Science:Math_Exam_Resources/Courses/MATH101/April_2012,1987,1257,734,00:00:58,9.07,74:25:44
/Science:Math_Exam_Resources/Courses/MATH105/April_2011,1644,1080,669,00:00:55,8.70,97:36:32
/Science:Math_Exam_Resources/Courses/MATH105/April_2010,1572,963,581,00:00:52,10.62,46:21:30
/Science:Math_Exam_Resources/Courses/MATH101/April_2010,1324,816,567,00:00:57,8.33,89:10:44
/Science:Math_Exam_Resources/Courses/MATH152,1322,884,405,00:00:37,3.29,174:38:47
/Science:Math_Exam_Resources/Courses/MATH103/April_2011,1238,831,476,00:00:58,11.46,57:42:28
/Science:Math_Exam_Resources/Courses/MATH152/April_2010,1161,670,324,00:01:12,8.41,81:54:13
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(a),1154,918,631,00:03:28,11.31,66:01:49
/Science:Math_Exam_Resources/Courses/MATH152/April_2011,1074,632,350,00:00:57,6.47,64:23:03
/Science:Math_Exam_Resources/Courses/MATH101/April_2011,1066,721,450,00:00:59,8.33,56:52:08
/Science:Math_Exam_Resources/Courses/MATH110,1012,738,350,00:00:27,8.10,27:33:57
/Science:Math_Exam_Resources/Courses/MATH103/April_2009,1003,677,418,00:00:53,10.13,56:41:05
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(b),958,726,538,00:03:32,19.96,27:01:14
/Science:Math_Exam_Resources/Courses/MATH103/April_2012/Question_1_(a),904,758,486,00:04:08,13.70,29:24:04
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(c),899,725,522,00:06:16,19.54,27:35:40
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_2_(a),791,652,484,00:04:25,11.81,33:53:07
/Science:Math_Exam_Resources/Courses/MATH103/April_2010,785,584,360,00:01:08,11.54,33:50:14
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_4_(a),772,628,480,00:05:24,26.62,19:15:31
/Science:Math_Exam_Resources/Courses/MATH110/April_2012,753,488,228,00:00:54,11.58,14:50:35
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_2_(b),702,592,454,00:04:21,15.95,18:27:36
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_5_(a),686,567,462,00:03:00,45.73,09:19:13
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_5_(b),684,574,456,00:04:12,25.33,07:23:38
/Science:Math_Exam_Resources/Courses/MATH110/April_2011,681,354,187,00:01:27,15.48,17:53:25
/Science:Math_Exam_Resources/Courses/MATH103/April_2012/Question_1_(b),674,551,418,00:02:33,13.76,32:00:41
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_2_(c),674,566,435,00:04:25,25.92,14:18:20
/Science:Math_Exam_Resources/Courses/MATH101/April_2005,671,426,312,00:00:50,15.25,12:48:37
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_4_(b),671,556,448,00:02:50,18.14,26:58:08
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_3_(a),656,563,433,00:05:03,13.12,36:57:55
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_8_(a),654,564,434,00:05:02,18.17,10:27:25
/Science:Math_Exam_Resources/Courses/MATH101/April_2009,652,437,326,00:01:17,9.45,37:56:04
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_6_(a),644,548,439,00:03:14,18.94,17:23:07
/Science:Math_Exam_Resources/Courses/MATH152/April_2012,634,379,244,00:01:15,14.41,17:27:24
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_8_(h),630,516,398,00:06:25,11.25,15:24:45
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_8_(b),617,532,434,00:03:53,14.02,30:59:45
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_6_(b),615,531,432,00:04:37,27.95,11:17:14
/Science:Math_Exam_Resources/Courses/MATH103/April_2012/Question_4_(b),600,437,359,00:04:11,37.50,07:41:16
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_7_(a),599,514,414,00:04:33,15.36,31:03:31
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_1_(a),597,530,423,00:05:04,17.06,22:20:55
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_3_(b),596,526,420,00:03:26,14.19,50:17:30
/Science:Math_Exam_Resources/Courses/MATH103/April_2012/Question_1_(c),588,513,402,00:03:21,36.75,10:32:42
/Science:Math_Exam_Resources/Courses/MATH104/December_2011,583,319,177,00:00:51,6.70,18:10:48
/Science:Math_Exam_Resources/Courses/MATH103/April_2012/Question_3_(b),581,445,361,00:05:10,14.90,31:13:14
