# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20140101-20140430
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH103,13177,7100,1711,00:01:07,3.65,1165:05:27
/Science:Math_Exam_Resources/Courses/MATH101,12406,7757,2556,00:00:56,3.44,1439:32:04
/Science:Math_Exam_Resources/Courses/MATH105,7863,4743,1857,00:01:04,2.72,913:47:51
/Science:Math_Exam_Resources/Courses/MATH101/April_2013,6414,3698,1687,00:01:13,10.87,329:23:24
/Science:Math_Exam_Resources/Courses/MATH101/April_2012,4422,2693,1303,00:01:12,10.10,305:29:31
/Science:Math_Exam_Resources/Courses/MATH105/April_2013,3426,2030,992,00:01:09,9.79,187:24:58
/Science:Math_Exam_Resources/Courses/MATH103/April_2013,3383,2147,987,00:01:07,11.67,119:29:17
/Science:Math_Exam_Resources/Courses/MATH101/April_2011,2443,1540,878,00:01:09,11.42,138:17:46
/Science:Math_Exam_Resources/Courses/MATH105/April_2012,2436,1556,895,00:01:09,12.75,105:36:50
/Science:Math_Exam_Resources/Courses/MATH152,2289,1618,724,00:00:37,5.10,324:48:59
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_12_(a),2090,1648,1110,00:04:49,11.88,98:15:37
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(a),2008,1746,1195,00:03:19,10.04,149:21:41
/Science:Math_Exam_Resources/Courses/MATH110,1999,1291,523,00:00:50,5.95,125:51:15
/Science:Math_Exam_Resources/Courses/MATH152/April_2013,1846,1128,545,00:01:31,11.99,120:07:46
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(a),1841,1482,1051,00:05:29,8.52,142:54:01
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(a),1799,1598,1142,00:03:57,16.21,67:13:29
/Science:Math_Exam_Resources/Courses/MATH105/April_2011,1758,1225,729,00:01:07,3.65,252:54:03
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(b),1745,1413,1067,00:04:51,9.97,73:08:58
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(b),1709,1511,1148,00:04:50,16.12,68:06:34
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_05_(b),1632,1414,1026,00:06:27,10.26,103:25:09
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_06_(b),1546,1367,994,00:07:25,20.08,44:27:05
