# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20120101-20150121
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH101,21638,14967,6731,00:00:47,3.65,1935:31:57
/Science:Math_Exam_Resources/Courses/MATH103,21131,12214,4148,00:00:52,4.09,1600:04:37
/Science:Math_Exam_Resources/Courses/MATH105,17392,11593,5412,00:00:43,3.48,1406:33:36
/Science:Math_Exam_Resources/Courses/MATH100,17098,11947,5925,00:00:57,2.76,1931:14:36
/Science:Math_Exam_Resources/Courses/MATH104/December_2011,16166,9146,4562,00:00:45,9.66,690:47:39
/Science:Math_Exam_Resources/Courses/MATH104,15773,11135,5423,00:00:41,3.05,1541:46:41
/Science:Math_Exam_Resources/Courses/MATH104/December_2010,9843,5815,3347,00:00:53,11.35,361:20:57
/Science:Math_Exam_Resources/Courses/MATH105/April_2011,9729,4933,2834,00:00:54,8.34,608:48:22
/Science:Math_Exam_Resources/Courses/MATH110,7827,5314,2235,00:00:37,3.45,699:15:10
/Science:Math_Exam_Resources/Courses/MATH105/April_2010,7641,3990,2229,00:00:51,15.07,162:41:38
/Science:Math_Exam_Resources/Courses/MATH104/December_2012,7614,4295,2447,00:00:40,10.50,268:27:54
/Science:Math_Exam_Resources/Courses/MATH101/April_2013,7543,4535,2251,00:01:24,12.70,260:21:55
/Science:Math_Exam_Resources/Courses/MATH100/December_2010,7091,3690,2164,00:01:03,13.01,206:18:53
/Science:Math_Exam_Resources/Courses/MATH101/April_2012,6720,4349,2305,00:01:04,10.03,482:06:15
/Science:Math_Exam_Resources/Courses/MATH102,6611,4475,2158,00:00:47,4.17,400:40:02
/Science:Math_Exam_Resources/Courses/MATH101/April_2011,5995,3815,2218,00:00:58,10.48,231:41:58
/Science:Math_Exam_Resources/Courses/MATH100/December_2011,5739,3216,2033,00:00:50,11.32,259:41:51
/Science:Math_Exam_Resources/Courses/MATH103/April_2011,5592,3085,1657,00:01:23,11.80,132:22:35
/Science:Math_Exam_Resources/Courses/MATH100/December_2012,5532,3472,2295,00:00:46,11.80,222:37:40
/Science:Math_Exam_Resources/Courses/MATH105/April_2012,5472,3635,2033,00:00:59,9.21,268:54:53
/Science:Math_Exam_Resources/Courses/MATH152/April_2011,5439,2491,1363,00:00:53,8.67,252:40:27
/Science:Math_Exam_Resources/Courses/MATH152,5369,3951,1962,00:00:31,4.56,519:38:14
/Science:Math_Exam_Resources/Courses/MATH103/April_2010,4262,2273,1368,00:01:50,15.06,274:35:37
/Science:Math_Exam_Resources/Courses/MATH100/December_2013,4186,2355,1472,00:01:14,12.20,170:04:01
