# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20140101-20140402
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Unique Visitors,Avg. Time on Page,Pages / Visit,Visit Duration
/Science:Math_Exam_Resources/Courses/MATH103,"7,510","3,926","1,177",00:01:04,3.30,506:38:09
/Science:Math_Exam_Resources/Courses/MATH101,"3,603","2,087",876,00:00:53,2.78,270:55:56
/Science:Math_Exam_Resources/Courses/MATH105,"2,842","1,696",902,00:01:00,2.46,135:07:27
/Science:Math_Exam_Resources/Courses/MATH103/April_2013,"1,357",837,531,00:00:41,18.85,13:50:59
/Science:Math_Exam_Resources/Courses/MATH101/April_2013,960,538,366,00:00:42,16.27,12:44:28
/Science:Math_Exam_Resources/Courses/MATH101/April_2012,769,474,244,00:00:24,17.09,12:45:34
/Science:Math_Exam_Resources/Courses/MATH105/April_2012,701,437,358,00:00:36,19.47,03:33:04
/Science:Math_Exam_Resources/Courses/MATH110,640,390,224,00:00:54,8.65,11:52:02
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(c),609,472,347,00:03:45,19.03,09:09:51
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(a),574,455,347,00:01:33,28.70,07:11:30
/Science:Math_Exam_Resources/Courses/MATH101/April_2011,437,284,160,00:00:23,24.28,04:03:18
/Science:Math_Exam_Resources/Courses/MATH103/April_2009/Question_5_(c),402,276,208,00:03:26,33.50,05:26:34
/Science:Math_Exam_Resources/Courses/MATH103/April_2012/Question_2_(c),385,324,248,00:05:15,20.26,05:25:37
/Science:Math_Exam_Resources/Courses/MATH101/April_2012/Question_1_(g),376,314,243,00:04:00,7.67,30:10:09
/Science:Math_Exam_Resources/Courses/MATH105/April_2012/Question_1_(a),376,307,282,00:01:12,41.78,04:01:47
/Science:Math_Exam_Resources/Courses/MATH103/April_2009/Question_1_(a),373,315,246,00:03:11,24.87,08:32:04
/Science:Math_Exam_Resources/Courses/MATH101/April_2010,357,245,135,00:00:19,27.46,02:10:12
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(b),352,263,210,00:04:01,7.82,11:38:54
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_03_(a),350,283,215,00:03:02,38.89,01:55:11
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_02_(d),346,281,217,00:04:29,21.62,06:04:11
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_06_(b),346,232,182,00:02:32,15.04,08:30:30
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_02_(a),344,283,236,00:03:03,24.57,08:06:18
/Science:Math_Exam_Resources/Courses/MATH103/April_2009,343,263,144,00:00:37,8.58,02:41:31
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(a),342,277,225,00:01:47,19.00,06:11:36
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_06_(a),340,262,212,00:02:47,14.78,07:34:19
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(b),328,263,216,00:02:33,21.87,03:49:59
