# ----------------------------------------
# wiki.ubc.ca
# MER Math 101
# 20120101-20140206
# ----------------------------------------

Page path level 4,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit,Organic Searches,Unique Visitors
/April_2011,3922,2346,00:00:41,16.94%,9.51%,0,1385
/April_2012,3023,1884,00:00:47,19.20%,11.78%,3,1087
/April_2010,2917,1665,00:00:58,21.72%,7.99%,0,1023
/April_2009,2237,1289,00:00:52,16.27%,8.58%,3,845
/April_2005,2014,1098,00:00:34,25.20%,11.57%,17,807
/April_2008,1344,865,00:00:43,20.59%,9.15%,3,561
/April_2011/Question_1_(a),1108,944,00:03:13,38.20%,17.60%,0,756
/April_2011/Question_1_(f),958,773,00:04:21,32.26%,8.25%,0,633
/April_2010/Question_4,927,715,00:06:14,33.33%,17.69%,3,544
/April_2012/Question_1_(a),916,797,00:02:08,50.00%,17.14%,0,605
/April_2011/Question_8,875,622,00:03:49,41.46%,28.91%,0,479
/April_2010/Question_2_(a),869,643,00:04:34,11.11%,9.78%,3,520
/April_2010/Question_1_(a),828,694,00:02:00,0.00%,5.31%,0,622
/April_2011/Question_7,828,687,00:05:09,30.38%,14.86%,0,537
/April_2011/Question_1_(g),814,694,00:04:30,29.17%,10.07%,10,592
/April_2011/Question_4_(a),814,633,00:04:49,15.73%,9.71%,3,499
/April_2011/Question_2_(b),790,684,00:05:32,68.10%,18.99%,0,510
/April_2007,780,451,00:00:40,7.32%,5.26%,7,301
/April_2010/Question_9,780,598,00:04:25,41.18%,28.97%,0,516
/April_2011/Question_1_(b),742,660,00:03:40,33.33%,8.36%,0,575
/April_2011/Question_5_(a),728,530,00:04:07,44.74%,13.60%,10,421
/April_2011/Question_1_(e),718,602,00:03:07,62.96%,5.29%,3,506
/April_2010/Question_1_(b),701,636,00:02:36,21.43%,5.85%,0,575
/April_2010/Question_3_(c),701,585,00:05:03,27.42%,13.12%,7,506
/April_2011/Question_6_(a),698,554,00:04:42,44.74%,13.75%,0,414
/April_2012/Question_1_(g),698,629,00:04:37,33.87%,20.63%,0,513
/April_2011/Question_4_(d),694,540,00:03:58,58.33%,9.80%,0,431
/April_2006,691,421,00:00:56,7.89%,4.49%,0,284
/April_2009/Question_1_(b),691,564,00:02:28,14.29%,4.49%,0,516
/April_2011/Question_2_(a),687,592,00:02:59,14.29%,5.97%,0,503
/April_2011/Question_5_(b),681,441,00:03:00,22.73%,7.49%,0,366
/April_2010/Question_3_(b),674,581,00:05:58,24.39%,6.08%,0,496
/April_2012/Question_1_(c),674,605,00:03:05,0.00%,6.53%,0,506
/April_2010/Question_3_(a),670,571,00:05:01,33.33%,7.61%,3,489
/April_2011/Question_3_(a),667,575,00:04:17,9.68%,10.19%,0,465
/April_2011/Question_1_(h),660,578,00:03:14,25.93%,10.91%,0,475
/April_2010/Question_5_(c),657,554,00:05:07,33.33%,13.55%,0,469
/April_2011/Question_4_(b),657,554,00:04:41,14.58%,11.42%,0,469
/April_2012/Question_1_(h),657,568,00:03:22,5.45%,5.78%,7,458
/April_2010/Question_1_(d),646,568,00:03:45,42.86%,5.88%,0,496
/April_2010/Question_8,646,523,00:03:58,29.17%,11.61%,0,441
/April_2012/Question_1_(i),643,537,00:04:18,22.73%,16.49%,7,397
/April_2011/Question_1_(d),639,486,00:02:10,22.73%,6.42%,7,397
/April_2011/Question_4_(c),626,544,00:03:26,9.68%,4.95%,0,445
/April_2010/Question_1_(c),622,533,00:02:08,25.93%,1.61%,0,475
/April_2011/Question_3_(b),622,537,00:05:43,35.42%,19.29%,3,438
/April_2011/Question_1_(c),609,551,00:02:16,47.62%,7.88%,0,465
/April_2012/Question_2_(a),605,482,00:03:24,25.45%,13.55%,0,369
/April_2010/Question_3_(d),602,544,00:05:33,29.41%,13.12%,0,472
/April_2011/Question_1_(j),602,520,00:04:30,9.68%,5.65%,0,445
/April_2010/Question_1_(f),598,547,00:03:47,7.89%,5.18%,0,489
/April_2011/Question_1_(i),595,530,00:03:17,31.82%,7.39%,0,448
/April_2009/Question_1_(a),592,492,00:01:47,14.29%,6.93%,0,455
/April_2011/Question_6_(b),592,458,00:03:05,29.41%,13.34%,0,369
/April_2010/Question_1_(e),588,523,00:03:09,12.50%,4.59%,3,479
/April_2010/Question_5_(a),585,472,00:02:39,0.00%,5.30%,0,417
/April_2005/Question_1_(a),575,503,00:00:54,17.65%,10.78%,0,455
/April_2010/Question_6,568,496,00:01:10,65.31%,22.36%,92,424
/April_2010/Question_7,564,482,00:05:14,29.17%,7.27%,0,431
/April_2010/Question_5_(b),554,448,00:01:31,12.50%,3.79%,0,400
/April_2012/Question_3_(b),551,482,00:05:26,60.78%,28.49%,0,373
/April_2009/Question_2,547,451,00:05:54,66.67%,14.44%,0,414
/April_2012/Question_1_(b),544,475,00:02:17,8.82%,8.09%,0,369
/April_2010/Question_2_(b),540,469,00:01:50,14.29%,4.44%,0,400
/April_2009/Question_1_(i),527,445,00:02:42,42.86%,7.21%,3,427
/April_2012/Question_4_(b),520,417,00:04:18,36.92%,13.85%,0,321
/April_2012/Question_1_(e),513,448,00:03:40,47.73%,11.31%,3,342
/April_2012/Question_8_(a),503,410,00:04:14,46.07%,23.06%,3,287
/April_2009/Question_3_(b),499,397,00:03:15,11.11%,9.62%,0,325
/April_2012/Question_1_(j),499,407,00:04:57,26.32%,15.03%,0,321
/April_2012/Question_4_(a),499,417,00:04:28,61.76%,13.63%,0,342
/April_2009/Question_8_(a),496,390,00:03:53,0.00%,17.14%,0,342
/April_2012/Question_1_(f),496,431,00:03:54,20.59%,9.68%,0,339
/April_2012/Question_2_(b),492,410,00:04:13,32.26%,13.82%,0,328
/April_2011/Question_5_(c),489,397,00:01:57,0.00%,4.91%,3,356
/April_2009/Question_7_(b),486,369,00:04:47,41.67%,16.87%,3,318
/April_2012/Question_1_(d),486,438,00:01:41,41.18%,9.88%,0,356
/April_2009/Question_4_(b),472,397,00:06:24,0.00%,9.32%,0,362
/April_2009/Question_6_(b),472,390,00:04:16,61.82%,14.41%,0,339
/April_2012/Question_4_(c),472,407,00:04:34,41.46%,14.41%,0,315
/April_2009/Question_4_(a),469,393,00:04:06,41.18%,10.87%,3,359
/April_2012/Question_6,465,404,00:05:32,54.55%,17.63%,3,301
/April_2009/Question_1_(c),462,386,00:03:19,33.33%,5.84%,0,376
/April_2012/Question_5,462,390,00:05:22,29.41%,18.40%,0,321
/April_2009/Question_1_(g),455,386,00:05:09,41.18%,9.67%,0,366
/April_2009/Question_3_(a),445,376,00:04:13,29.17%,5.39%,0,328
/April_2010/Question_2_(c),431,373,00:00:59,0.00%,5.57%,0,315
/April_2009/Question_1_(f),427,349,00:03:38,50.00%,4.92%,0,328
/April_2012/Question_3_(a),427,393,00:04:15,0.00%,6.32%,0,325
/April_2012/Question_3_(d),427,386,00:04:14,41.67%,11.24%,0,311
/April_2012/Question_3_(c),424,369,00:05:41,7.32%,7.31%,0,301
/April_2012/Question_7_(a),414,359,00:03:34,38.18%,12.32%,0,280
/April_2009/Question_1_(d),410,359,00:01:44,17.65%,1.71%,0,345
/April_2009/Question_6_(a),407,352,00:02:32,0.00%,4.18%,0,328
/April_2012/Question_8_(b),404,325,00:04:26,41.67%,24.50%,0,253
/April_2009/Question_1_(j),397,339,00:03:00,0.00%,2.52%,0,332
/April_2005/Question_1_(c),386,311,00:03:08,54.84%,16.06%,0,267
/April_2009/Question_1_(h),383,315,00:02:05,0.00%,1.83%,0,301
/April_2009/Question_8_(b),380,318,00:01:36,69.09%,29.74%,3,267
/April_2009/Question_5,352,284,00:00:47,14.29%,2.84%,0,246
/April_2009/Question_7_(a),352,274,00:01:27,100.00%,3.98%,0,250
/April_2009/Question_1_(e),339,277,00:01:24,0.00%,5.01%,0,260
/April_2012/Question_7_(b),321,287,00:02:14,0.00%,0.00%,0,233
