Q,1a,1b,1c,1d,1e,1f,2a,2b,2c,2d,3a,3bi,3bii,4a,4b,5a,5b,6a,6b,6c,7a,7b,7c,7d,7e,8a,8b,8c,9,10
MAX,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,6,4,4,2,4,2,3,1,3,3,3,2,5,6,6
S1,2,2,2,2,2,1,3,0,2,0,2,2,0,5,1,1,3,2,0,1,2,3,0,0,0,0,0,5,5,3
S2,2,1,1,2,2,0,3,1,0,0,0,0,0,5,2,2,3,2,0,2,2,2,0,0,0,3,2,0,5,2
S3,0,2,0,0,0,1,2,1,2,2,3,1,0,5,1,0,0,1,0,0,2,0,0,0,0,0,0,2,5,2
S4,0,2,0,2,2,0,3,1,2,0,2,1,1,5,1,2,1,1,0,1,2,0,1,0,0,0,2,1,5,2
S5,2,2,0,2,0,0,1,0,0,0,2,1,0,5,1,1,0,2,2,1,0,1,0,0,0,3,2,0,4,0
S6,2,0,2,2,2,1,3,1,0,2,0,2,1,5,5,3,4,0,0,2,2,3,1,2,2,3,2,0,5,6
S7,2,2,0,0,2,0,3,0,2,0,0,2,0,4,2,1,2,1,0,1,1,0,0,0,0,3,0,0,1,3
S8,2,1,1,1,0,0,3,1,1,3,0,2,1,5,1,0,3,2,0,1,2,0,0,0,0,3,2,2,5,1
S9,2,1,1,1,2,1,3,0,1,2,0,2,1,5,2,4,0,1,0,1,2,3,1,1,0,3,0,2,5,2
S10,2,1,2,2,2,2,3,1,2,2,2,1,1,5,1,0,3,3,2,1,2,2,1,0,0,3,2,3,6,2
S11,0,1,1,1,2,0,3,0,2,0,0,4,1,5,2,0,3,2,0,1,1,0,0,0,2,0,0,0,3,2
S12,2,0,0,0,2,1,2,0,2,0,1,3,1,5,2,1,3,1,0,2,1,2,0,3,0,0,0,0,5,5
S13,2,2,0,0,2,0,3,0,2,0,4,0,0,5,1,4,3,2,0,1,1,1,0,0,0,3,2,3,5,1
S14,2,1,0,2,2,1,2,0,0,0,2,0,0,5,1,2,3,2,1,2,0,0,0,0,0,0,0,0,5,5
S15,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,0,0,0,5,0
S16,2,2,1,2,0,0,3,1,2,2,0,2,0,3,2,1,0,2,1,0,0,0,0,0,0,3,2,1,5,1
S17,2,2,1,2,0,2,3,1,1,1,0,0,0,5,2,6,1,1,0,1,0,0,0,0,0,2,2,2,6,4
S18,2,2,1,2,0,1,2,1,2,3,0,1,0,5,2,2,3,2,2,2,2,0,0,1,0,3,2,2,5,0
S19,0,1,0,2,0,1,3,1,1,2,0,4,2,5,2,3,0,2,0,0,2,0,0,0,0,1,2,3,6,0
S20,2,0,1,0,2,1,3,0,2,2,0,1,0,5,3,1,3,3,2,0,1,1,0,3,0,0,0,0,1,5
S21,2,1,0,2,2,1,3,1,3,3,2,0,0,5,3,6,4,3,2,1,2,0,0,0,0,3,2,5,5,5
S22,0,1,1,2,2,1,3,1,2,0,0,3,1,5,2,1,1,1,0,0,2,2,1,2,3,3,2,0,5,1
S23,2,1,0,2,2,0,3,0,2,3,0,0,0,4,1,2,2,0,0,0,1,2,0,2,0,1,0,0,6,0
S24,0,2,1,2,2,2,3,0,3,0,2,4,1,5,1,6,3,2,2,1,2,3,0,2,2,3,0,2,6,4
S25,2,2,0,2,2,1,3,1,2,0,0,1,1,5,1,2,2,1,1,1,1,0,0,2,0,1,0,0,4,3
S26,2,1,1,2,0,0,3,0,1,0,0,0,0,0,1,1,3,2,0,1,0,0,0,0,0,0,0,2,3,0
S27,2,1,1,2,2,2,3,1,2,1,0,0,0,5,1,3,2,4,2,1,2,0,0,0,0,0,0,0,1,1
