# ----------------------------------------
# wiki.ubc.ca
# MER 103
# 20120101-20140206
# ----------------------------------------

Page path level 4,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit,Organic Searches,Unique Visitors
/April_2011,4757,2520,00:01:25,41.67%,10.99%,0,1296
/April_2010,3427,1778,00:01:35,6.70%,6.10%,0,1064
/April_2009,3290,1860,00:00:37,12.75%,8.21%,0,1070
/April_2012,2654,1614,00:00:41,22.11%,11.08%,0,910
/April_2009/Question_1_(a),1402,1156,00:03:23,43.04%,14.62%,0,855
/April_2011/Question_3_(a),1371,848,00:03:13,44.22%,10.50%,3,609
/April_2011/Question_1_(a),1323,1152,00:03:20,21.88%,16.25%,0,855
/April_2011/Question_1_(b),1258,944,00:04:31,47.41%,14.71%,3,746
/April_2010/Question_1_(a),1118,1005,00:02:51,33.33%,10.11%,3,834
/April_2012/Question_1_(a),1105,923,00:02:35,41.54%,14.84%,0,612
/April_2011/Question_3_(b),1057,804,00:03:25,41.18%,9.74%,3,711
/April_2011/Question_2_(c),1053,865,00:06:16,60.76%,23.36%,7,653
/April_2011/Question_8,1005,848,00:06:25,37.80%,36.72%,14,650
/April_2011/Question_2_(d),882,698,00:03:39,47.45%,12.36%,24,568
/April_2011/Question_4_(b),882,732,00:05:43,36.92%,14.74%,7,592
/April_2011/Question_6_(b),869,718,00:05:22,50.00%,15.77%,0,551
/April_2011/Question_4_(a),862,715,00:03:59,34.15%,7.54%,0,571
/April_2011/Question_7_(a),862,715,00:03:47,51.52%,10.32%,0,547
/April_2010/Question_8,858,718,00:07:29,41.38%,32.63%,14,575
/April_2011/Question_1_(c),852,725,00:03:12,22.67%,6.81%,10,595
/April_2011/Question_2_(b),852,694,00:04:20,14.58%,5.63%,0,585
/April_2011/Question_2_(a),848,749,00:03:42,29.41%,8.49%,0,605
/April_2013,848,458,00:00:40,24.39%,8.02%,0,352
/April_2010/Question_2_(a),824,718,00:04:37,41.18%,7.89%,0,653
/April_2011/Question_6_(a),810,674,00:02:12,22.73%,5.06%,0,554
/April_2010/Question_1_(b),800,701,00:01:59,37.04%,6.38%,0,612
/April_2010/Question_1_(e),797,663,00:02:01,71.43%,4.77%,3,602
/April_2010/Question_7_(a),797,643,00:05:51,41.18%,9.41%,0,544
/April_2011/Question_5_(c),797,622,00:03:33,30.00%,2.13%,0,527
/April_2009/Question_1_(e),790,698,00:04:49,64.00%,14.30%,0,557
/April_2011/Question_5_(a),780,660,00:02:16,14.58%,5.26%,0,554
/April_2012/Question_1_(b),780,629,00:02:33,12.07%,5.64%,0,482
/April_2010/Question_1_(f),773,660,00:04:49,29.41%,7.12%,0,571
/April_2011/Question_7_(c),769,643,00:03:03,67.07%,14.17%,7,516
/April_2010/Question_3_(a),756,667,00:02:52,17.07%,5.42%,7,581
/April_2010/Question_1_(d),752,650,00:02:17,0.00%,3.19%,0,595
/April_2010/Question_4_(c),746,629,00:05:19,37.04%,10.59%,0,551
/April_2010/Question_6_(a),746,629,00:03:55,38.64%,6.84%,0,533
/April_2011/Question_5_(b),742,616,00:02:06,0.00%,1.89%,0,530
