# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20120101-20140206
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Unique Visitors,Avg. Time on Page,Pages / Visit,Visit Duration
/Science:Math_Exam_Resources/Courses/MATH104/December_2011,14407,8098,3916,00:00:44,9.39,643:49:59
/Science:Math_Exam_Resources/Courses/MATH103,9637,6056,2794,00:00:39,5.29,485:36:19
/Science:Math_Exam_Resources/Courses/MATH105,9596,6747,3635,00:00:27,4.34,486:19:42
/Science:Math_Exam_Resources/Courses/MATH101,9151,6477,3211,00:00:40,3.99,629:55:38
/Science:Math_Exam_Resources/Courses/MATH104/December_2010,8519,4856,2715,00:00:56,12.71,349:56:05
/Science:Math_Exam_Resources/Courses/MATH104,8447,6244,3085,00:00:37,3.21,1084:33:33
/Science:Math_Exam_Resources/Courses/MATH105/April_2011,7233,3529,2079,00:00:47,12.22,261:21:07
/Science:Math_Exam_Resources/Courses/MATH105/April_2010,6039,3081,1806,00:00:52,16.68,120:47:14
/Science:Math_Exam_Resources/Courses/MATH100,5673,4199,2435,00:00:52,4.24,415:46:38
/Science:Math_Exam_Resources/Courses/MATH104/December_2012,5184,2657,1429,00:00:37,10.45,192:16:34
/Science:Math_Exam_Resources/Courses/MATH103/April_2011,4757,2520,1296,00:01:25,9.22,130:15:43
/Science:Math_Exam_Resources/Courses/MATH152/April_2011,4111,1987,1060,00:00:58,7.29,162:13:06
/Science:Math_Exam_Resources/Courses/MATH101/April_2011,3922,2346,1385,00:00:41,10.72,116:18:50
/Science:Math_Exam_Resources/Courses/MATH100/December_2010,3813,1987,1163,00:00:54,14.12,101:57:14
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(a),3810,3283,2479,00:02:22,13.61,207:06:26
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_4,3731,3238,2233,00:07:17,4.83,213:56:55
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_3,3639,3180,2274,00:07:17,7.95,124:21:01
/Science:Math_Exam_Resources/Courses/MATH110,3543,2493,1156,00:00:32,4.41,233:41:34
