# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20120101-20140430
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH103,19538,11116,3771,00:00:50,4.48,1516:24:29
/Science:Math_Exam_Resources/Courses/MATH101,19096,12989,5564,00:00:50,3.89,1807:51:26
/Science:Math_Exam_Resources/Courses/MATH105,16041,10823,4981,00:00:45,3.41,1442:03:31
/Science:Math_Exam_Resources/Courses/MATH104/December_2011,14698,8310,4089,00:00:46,8.98,674:55:17
/Science:Math_Exam_Resources/Courses/MATH105/April_2011,9560,4869,2782,00:00:55,8.46,594:49:31
/Science:Math_Exam_Resources/Courses/MATH104,8917,6569,3333,00:00:35,3.24,1129:43:15
/Science:Math_Exam_Resources/Courses/MATH104/December_2010,8740,4961,2834,00:00:52,12.49,343:49:48
/Science:Math_Exam_Resources/Courses/MATH105/April_2010,7325,3823,2151,00:00:55,16.42,166:48:55
/Science:Math_Exam_Resources/Courses/MATH101/April_2012,6794,4153,2195,00:01:03,10.50,456:43:45
/Science:Math_Exam_Resources/Courses/MATH101/April_2013,6288,3723,1709,00:01:27,12.12,232:08:21
/Science:Math_Exam_Resources/Courses/MATH110,6046,4073,1568,00:00:36,4.96,398:20:25
/Science:Math_Exam_Resources/Courses/MATH105/April_2012,5910,3662,2034,00:01:07,10.21,288:26:55
/Science:Math_Exam_Resources/Courses/MATH100,5874,4418,2653,00:00:53,4.20,430:59:50
/Science:Math_Exam_Resources/Courses/MATH103/April_2011,5677,3112,1608,00:01:22,9.41,175:31:13
/Science:Math_Exam_Resources/Courses/MATH101/April_2011,5584,3546,2078,00:00:56,10.28,223:06:53
/Science:Math_Exam_Resources/Courses/MATH104/December_2012,5532,2870,1624,00:00:37,10.58,196:01:50
/Science:Math_Exam_Resources/Courses/MATH152,5182,3771,1849,00:00:35,4.62,546:17:26
/Science:Math_Exam_Resources/Courses/MATH152/April_2011,5066,2489,1355,00:00:56,7.78,226:35:32
/Science:Math_Exam_Resources/Courses/MATH103/April_2010,4161,2243,1335,00:01:33,15.94,217:47:21
/Science:Math_Exam_Resources/Courses/MATH101/April_2010,4129,2485,1508,00:01:02,11.93,182:15:20
/Science:Math_Exam_Resources/Courses/MATH100/December_2010,4081,2046,1178,00:00:55,13.16,124:51:10
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_4,3976,3449,2356,00:07:23,4.73,245:53:02
/Science:Math_Exam_Resources/Courses/MATH103/April_2009,3892,2255,1307,00:00:40,11.94,129:14:54
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(a),3827,3357,2553,00:02:28,13.62,223:14:11
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_3,3819,3337,2364,00:07:23,7.86,130:23:55
/Science:Math_Exam_Resources/Courses/MATH103/April_2012,3787,2396,1339,00:00:58,10.24,158:42:28
/Science:Math_Exam_Resources/Courses/MATH105/April_2013,3739,2243,1138,00:01:15,11.47,174:58:36
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(b),3650,2794,2103,00:03:52,18.91,54:27:44
/Science:Math_Exam_Resources/Courses/MATH152/April_2010,3498,2123,1118,00:01:21,8.79,223:34:13
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(a),3281,2714,2151,00:02:22,8.68,226:32:15
/Science:Math_Exam_Resources/Courses/MATH103/April_2013,3264,2026,973,00:01:14,8.63,153:09:07
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(e),3260,2883,2247,00:05:59,20.25,68:10:33
