# ----------------------------------------						
# wiki.ubc.ca						
# Math Exam Resource Wiki						
# 20120101-20131127						
# ----------------------------------------						
						
Page	Pageviews	Unique Pageviews	Unique Visitors	Avg. Time on Page	Pages / Visit	Visit Duration
/Science:Math_Exam_Resources/Courses/MATH104/December_2011	9,968	5,362	2,628	00:00:43	10.53	328:12:07
/Science:Math_Exam_Resources/Courses/MATH105	8,188	5,940	3,054	00:00:24	4.89	452:25:10
/Science:Math_Exam_Resources/Courses/MATH101	7,987	5,826	2,841	00:00:38	4.18	533:17:23
/Science:Math_Exam_Resources/Courses/MATH105/April_2011	6,902	3,372	1,954	00:00:48	13.02	242:56:28
/Science:Math_Exam_Resources/Courses/MATH103	6,222	4,238	1,993	00:00:28	7.44	297:14:13
/Science:Math_Exam_Resources/Courses/MATH105/April_2010	5,925	2,961	1,678	00:00:52	15.67	126:19:59
/Science:Math_Exam_Resources/Courses/MATH104/December_2010	5,545	2,964	1,795	00:00:55	16.5	174:01:52
/Science:Math_Exam_Resources/Courses/MATH103/April_2011	4,538	2,422	1,211	00:01:20	9	161:42:52
/Science:Math_Exam_Resources/Courses/MATH152/April_2011	3,947	1,942	1,013	00:00:57	6.86	161:56:31
/Science:Math_Exam_Resources/Courses/MATH101/April_2011	3,626	2,104	1,274	00:00:42	10.99	107:00:51
/Science:Math_Exam_Resources/Courses/MATH104	3,453	2,640	1,699	00:00:26	3.87	218:47:01
/Science:Math_Exam_Resources/Courses/MATH103/April_2010	3,204	1,678	956	00:01:30	14.63	193:08:06
/Science:Math_Exam_Resources/Courses/MATH105/April_2012	3,165	1,855	1,049	00:00:57	10.14	180:57:49
/Science:Math_Exam_Resources/Courses/MATH152	3,135	2,227	1,109	00:00:38	4.17	312:08:30
/Science:Math_Exam_Resources/Courses/MATH103/April_2009	3,081	1,741	941	00:00:45	9.69	121:54:20
/Science:Math_Exam_Resources/Courses/MATH101/April_2010	2,667	1,523	950	00:00:59	10.58	113:10:35
/Science:Math_Exam_Resources/Courses/MATH101/April_2012	2,503	1,564	917	00:00:52	11.27	62:48:22
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(a)	2,494	2,116	1,597	00:02:09	12.99	114:09:35
/Science:Math_Exam_Resources/Courses/MATH152/April_2010	2,437	1,451	749	00:01:29	8.83	97:27:48
/Science:Math_Exam_Resources/Courses/MATH103/April_2012	2,407	1,430	779	00:00:45	9.33	94:44:06
/Science:Math_Exam_Resources/Courses/MATH100	2,365	1,822	1,355	00:00:35	8.21	41:03:07
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_3	2,269	1,999	1,403	00:07:10	6.41	94:15:08
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_4	2,221	1,951	1,364	00:07:23	4.75	103:03:52
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(b)	2,176	1,651	1,244	00:04:02	21.33	31:16:32
/Science:Math_Exam_Resources/Courses/MATH105/April_2011/Question_1_(a)	2,044	1,738	1,241	00:04:55	9.6	68:21:17
/Science:Math_Exam_Resources/Courses/MATH110	2,041	1,472	794	00:00:29	4.83	88:38:10
/Science:Math_Exam_Resources/Courses/MATH101/April_2009	1,996	1,100	743	00:00:56	10.24	125:06:48
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(e)	1,984	1,732	1,313	00:05:56	17.87	48:23:27
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(c)	1,945	1,729	1,343	00:04:36	22.36	55:35:38
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_6_(c)	1,924	1,475	1,145	00:02:48	14.25	55:34:53
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_1_(j)	1,909	1,657	1,250	00:03:43	16.75	42:33:14
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_2_(f)	1,855	1,472	1,145	00:05:00	15.85	55:59:06
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(d)	1,846	1,576	1,205	00:04:37	12.82	28:00:32
/Science:Math_Exam_Resources/Courses/MATH104/December_2011/Question_5_(a)	1,828	1,573	1,244	00:02:28	9.23	108:39:00
