# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20150101-20150506
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Users,Avg. Time on Page,Pages / Session,Session Duration
/Science:Math_Exam_Resources/Courses/MATH103,"8,680","5,264","1,757",00:00:48,3.96,436:28:59
/Science:Math_Exam_Resources/Courses/MATH101,"7,396","4,972","2,038",00:00:50,2.75,939:09:58
/Science:Math_Exam_Resources/Courses/MATH105,"4,077","2,584","1,143",00:00:50,3.95,235:34:58
/Science:Math_Exam_Resources/Courses/MATH101/April_2014,"2,689","1,713","1,020",00:01:20,9.81,106:03:50
/Science:Math_Exam_Resources/Courses/MATH103/April_2014,"2,668","1,664",793,00:01:40,10.38,147:36:43
/Science:Math_Exam_Resources/Courses/MATH152,"2,495","1,765",841,00:00:38,5.03,200:35:29
/Science:Math_Exam_Resources/Courses/MATH101/April_2013,"2,099","1,388",894,00:00:59,9.90,130:03:34
/Science:Math_Exam_Resources/Courses/MATH103/April_2013,"1,796","1,262",712,00:01:14,10.63,82:49:03
/Science:Math_Exam_Resources/Courses/MATH110,"1,710","1,170",531,00:00:52,2.93,170:02:34
/Science:Math_Exam_Resources/Courses/MATH152/April_2013,"1,650","1,037",600,00:01:27,12.41,64:12:16
/Science:Math_Exam_Resources/Courses/MATH221,"1,403",916,449,00:00:46,4.43,91:06:24
/Science:Math_Exam_Resources/Courses/MATH100,"1,145",809,500,00:00:41,2.97,113:24:28
/Science:Math_Exam_Resources/Courses/MATH105/April_2013,"1,054",697,465,00:01:13,13.87,35:33:50
/Science:Math_Exam_Resources/Courses/MATH215,"1,052",708,358,00:00:57,4.03,53:09:38
/Science:Math_Exam_Resources/Courses/MATH101/April_2012,"1,026",730,493,00:01:24,7.71,79:04:48
/Science:Math_Exam_Resources/Courses/MATH104,"1,013",664,343,00:01:03,2.64,84:22:09
/Science:Math_Exam_Resources/Courses/MATH105/April_2014,955,646,383,00:01:11,11.51,23:08:03
/Science:Math_Exam_Resources/Courses/MATH103/April_2012,932,605,373,00:01:10,10.59,38:49:52
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(a),878,777,612,00:03:17,9.15,64:12:08
/Science:Math_Exam_Resources/Courses/MATH110/April_2014,768,480,270,00:01:16,11.64,32:19:30
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_09_(a),750,589,477,00:04:13,10.14,48:32:26
/Science:Math_Exam_Resources/Courses/MATH152/April_2010,726,453,287,00:01:20,11.71,30:22:34
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(d),698,641,532,00:07:06,14.85,25:41:07
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(a),693,608,519,00:03:38,15.07,35:09:17
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(g),690,617,514,00:04:08,12.55,45:44:05
/Science:Math_Exam_Resources/Courses/MATH200,682,503,313,00:00:43,5.59,27:08:21
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(f),679,595,488,00:05:52,17.87,27:20:58
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_09_(b),677,545,437,00:05:25,19.34,08:07:23
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_07_(a),676,518,377,00:06:15,10.73,52:30:45
/Science:Math_Exam_Resources/Courses/MATH103/April_2011,674,450,281,00:01:24,9.36,56:04:23
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(e),647,580,495,00:05:22,10.27,41:42:36
/Science:Math_Exam_Resources/Courses/MATH110/April_2013,647,416,236,00:01:20,8.40,24:14:24
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_01_(a),646,574,419,00:02:45,12.67,29:36:48
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_04,640,559,445,00:09:16,8.21,47:52:36
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(b),637,586,502,00:02:48,17.22,14:37:59
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(c),636,578,497,00:03:06,19.27,14:47:09
/Science:Math_Exam_Resources/Courses/MATH101/April_2011,629,426,306,00:01:16,10.31,30:59:05
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_08,626,539,435,00:07:59,14.23,28:48:23
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_07_(b),623,481,361,00:04:57,10.05,49:20:13
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_03_(b),616,559,472,00:03:30,19.87,20:20:58
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_02,616,537,454,00:05:56,18.12,23:50:50
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(b),614,552,490,00:04:59,21.17,21:32:23
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_12_(a),606,468,378,00:05:05,15.54,20:23:47
/Science:Math_Exam_Resources/Courses/MATH221/April_2013,606,383,213,00:01:07,11.88,24:26:23
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_03,604,540,454,00:08:26,8.63,39:27:20
/Science:Math_Exam_Resources/Courses/MATH215/December_2013,592,375,219,00:01:05,23.68,09:43:20
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(j),589,526,461,00:04:39,15.10,35:22:15
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(h),586,528,459,00:03:01,29.30,12:17:20
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_05_(a),578,521,448,00:08:29,15.21,23:45:55
/Science:Math_Exam_Resources/Courses/MATH220,572,425,270,00:00:27,5.50,20:29:04
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_05,570,510,428,00:07:43,6.48,50:34:35
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(k),568,518,449,00:06:25,16.71,18:50:35
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_01_(i),562,511,445,00:03:33,33.06,05:42:21
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(a),559,509,388,00:02:19,24.30,18:22:27
/Science:Math_Exam_Resources/Courses/MATH103/April_2013/Question_01_(c),557,501,391,00:05:04,25.32,16:36:43
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(a),556,524,459,00:04:02,37.07,06:26:24
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(a),555,442,379,00:05:36,9.10,48:19:18
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_05_(b),552,488,428,00:07:11,13.46,30:30:11
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_01_(b)_i,551,490,395,00:02:15,17.22,16:47:52
/Science:Math_Exam_Resources/Courses/MATH152/April_2012,539,401,287,00:01:22,11.47,26:01:15
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_07_(a),538,477,407,00:04:29,14.54,29:19:50
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_06,537,478,407,00:06:43,11.43,28:26:07
/Science:Math_Exam_Resources/Courses/MATH221/December_2011,536,355,228,00:00:52,13.40,29:23:40
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_06_(c),532,442,350,00:06:15,13.64,21:27:00
/Science:Math_Exam_Resources/Courses/MATH101/April_2014/Question_07_(b),527,471,406,00:04:00,23.95,12:20:09
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_02_(c),521,479,421,00:04:20,12.40,30:54:30
/Science:Math_Exam_Resources/Courses/MATH152/April_2011,519,387,241,00:01:19,11.53,25:11:26
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_03_(c),518,476,423,00:04:01,30.47,07:36:57
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_11,518,457,379,00:05:08,10.57,29:24:31
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_04_(b),508,467,375,00:03:56,14.94,23:54:45
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_12_(b),503,402,346,00:03:08,23.95,07:35:55
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_06_(a),502,423,347,00:04:44,13.94,31:32:49
/Science:Math_Exam_Resources/Courses/MATH105/April_2012,501,356,246,00:00:57,11.93,20:55:07
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_04_(a),497,443,364,00:04:32,12.42,31:07:43
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_07_(b),494,404,364,00:04:49,23.52,08:42:26
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_03_(c),494,464,380,00:07:39,18.30,17:23:19
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_01_(b),493,461,422,00:02:20,70.43,08:13:12
/Science:Math_Exam_Resources/Courses/MATH103/April_2014/Question_02_(b),492,439,357,00:06:05,19.68,14:48:49
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_12_(c),490,417,344,00:04:26,19.60,10:42:00
/Science:Math_Exam_Resources/Courses/MATH101/April_2013/Question_04_(a),489,451,406,00:05:47,16.86,15:06:28
