# ----------------------------------------
# wiki.ubc.ca
# Top Events
# 20140405-20140505
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
66376,2,2,0,0.00
66382,2,2,0,0.00
66399,2,2,0,0.00
66425,2,2,0,0.00
6643,2,2,0,0.00
6645,2,2,0,0.00
66459,2,2,0,0.00
66480,2,2,0,0.00
66516,2,2,0,0.00
66521,2,2,0,0.00
6655,2,2,0,0.00
66564,2,2,0,0.00
66575,2,2,0,0.00
66588,2,2,0,0.00
66593,2,2,0,0.00
66600,2,2,0,0.00
66615,2,2,0,0.00
66623,2,2,0,0.00
6666,2,2,0,0.00
66666,2,2,0,0.00
66674,2,2,0,0.00
66682,2,2,0,0.00
66724,2,2,0,0.00
667509,2,2,0,0.00
66770,2,2,0,0.00
66806,2,2,0,0.00
66808,2,2,0,0.00
66809,2,2,0,0.00
66815,2,2,0,0.00
66818,2,2,0,0.00
6682,2,2,0,0.00
66826,2,2,0,0.00
6683,2,2,0,0.00
66830,2,2,0,0.00
66845,2,2,0,0.00
66860,2,2,0,0.00
66864,2,2,0,0.00
66869,2,2,0,0.00
66873,2,2,0,0.00
66878,2,2,0,0.00
66904,2,2,0,0.00
66924,2,2,0,0.00
66947,2,2,0,0.00
66963,2,2,0,0.00
66970,2,2,0,0.00
66972,2,2,0,0.00
66977,2,2,0,0.00
6701,2,2,0,0.00
67018,2,2,0,0.00
67031,2,2,0,0.00
67042,2,2,0,0.00
67050,2,2,0,0.00
67080,2,2,0,0.00
67098,2,2,0,0.00
67105,2,2,0,0.00
67109,2,2,0,0.00
67112,2,2,0,0.00
67152,2,2,0,0.00
67173,2,2,0,0.00
67188,2,2,0,0.00
67198,2,2,0,0.00
67225,2,2,0,0.00
67228,2,2,0,0.00
67252,2,2,0,0.00
67261,2,2,0,0.00
67274,2,2,0,0.00
67304,2,2,0,0.00
67333,2,2,0,0.00
67339,2,2,0,0.00
67344,2,2,0,0.00
67366,2,2,0,0.00
67387,2,2,0,0.00
67395,2,2,0,0.00
67425,2,2,0,0.00
67439,2,2,0,0.00
67441,2,2,0,0.00
67442,2,2,0,0.00
67454,2,2,0,0.00
67462,2,2,0,0.00
67469,2,2,0,0.00
67486,2,2,0,0.00
67523,2,2,0,0.00
67547,2,2,0,0.00
67562,2,2,0,0.00
67567,2,2,0,0.00
67571,2,2,0,0.00
6758,2,2,0,0.00
67587,2,2,0,0.00
67589,2,2,0,0.00
67610,2,2,0,0.00
67620,2,2,0,0.00
67622,2,2,0,0.00
67629,2,2,0,0.00
6763,2,2,0,0.00
6764,2,2,0,0.00
67681,2,2,0,0.00
67718,2,2,0,0.00
67723,2,2,0,0.00
67725,2,2,0,0.00
67758,2,2,0,0.00
67762,2,2,0,0.00
678653,2,2,0,0.00
67869,2,2,0,0.00
67878,2,2,0,0.00
67884,2,2,0,0.00
67892,2,2,0,0.00
67905,2,2,0,0.00
67918,2,2,0,0.00
67933,2,2,0,0.00
67942,2,2,0,0.00
6795,2,2,0,0.00
67954,2,2,0,0.00
67975,2,2,0,0.00
67997,2,2,0,0.00
6800,2,2,0,0.00
6805,2,2,0,0.00
6808,2,2,0,0.00
6811,2,2,0,0.00
68128,2,2,0,0.00
68143,2,2,0,0.00
68155,2,2,0,0.00
6816,2,2,0,0.00
68173,2,2,0,0.00
68188,2,2,0,0.00
68202,2,2,0,0.00
68213,2,2,0,0.00
