# ----------------------------------------
# wiki.ubc.ca
# Top Events
# 20120101-20140430
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
3156,24,24,0,0.00
3000,21,21,0,0.00
3495,20,20,0,0.00
3653,20,19,0,0.00
3654,20,20,0,0.00
3429,19,19,0,0.00
3479,19,19,0,0.00
3522,19,19,0,0.00
3709,19,19,0,0.00
3925,19,19,0,0.00
2578,18,18,0,0.00
2795,18,18,0,0.00
2979,18,18,0,0.00
3113,18,18,0,0.00
3117,18,18,0,0.00
3216,18,18,0,0.00
3338,18,18,0,0.00
3569,18,18,0,0.00
3693,18,18,0,0.00
3903,18,18,0,0.00
3977,18,18,0,0.00
4252,18,18,0,0.00
2484,17,17,0,0.00
2900,17,17,0,0.00
2987,17,17,0,0.00
3067,17,17,0,0.00
3102,17,17,0,0.00
3192,17,17,0,0.00
3234,17,16,0,0.00
3237,17,17,0,0.00
3321,17,17,0,0.00
3360,17,17,0,0.00
3383,17,17,0,0.00
3457,17,17,0,0.00
3487,17,17,0,0.00
3488,17,17,0,0.00
3489,17,17,0,0.00
3585,17,17,0,0.00
3644,17,17,0,0.00
3715,17,17,0,0.00
3787,17,17,0,0.00
3943,17,17,0,0.00
3986,17,17,0,0.00
4041,17,17,0,0.00
4084,17,17,0,0.00
4109,17,17,0,0.00
4222,17,17,0,0.00
5109,17,17,0,0.00
2564,16,15,0,0.00
2605,16,16,0,0.00
2946,16,16,0,0.00
2954,16,16,0,0.00
3039,16,16,0,0.00
3051,16,16,0,0.00
3087,16,16,0,0.00
3098,16,16,0,0.00
3151,16,15,0,0.00
3171,16,16,0,0.00
3202,16,16,0,0.00
3271,16,16,0,0.00
3346,16,16,0,0.00
3359,16,16,0,0.00
3417,16,16,0,0.00
3549,16,16,0,0.00
3564,16,16,0,0.00
3573,16,16,0,0.00
3624,16,16,0,0.00
3627,16,16,0,0.00
3662,16,16,0,0.00
3740,16,16,0,0.00
3749,16,16,0,0.00
3756,16,16,0,0.00
3797,16,16,0,0.00
3890,16,16,0,0.00
4007,16,16,0,0.00
4259,16,16,0,0.00
4334,16,16,0,0.00
4839,16,16,0,0.00
5271,16,16,0,0.00
2794,15,15,0,0.00
2816,15,15,0,0.00
2871,15,15,0,0.00
2937,15,15,0,0.00
2938,15,15,0,0.00
2948,15,14,0,0.00
2957,15,15,0,0.00
2989,15,15,0,0.00
3023,15,15,0,0.00
3040,15,15,0,0.00
3045,15,14,0,0.00
3061,15,15,0,0.00
3070,15,15,0,0.00
3095,15,15,0,0.00
