# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20140902-20141231
# ----------------------------------------

Day Index,Sessions
9/2/14,0
9/3/14,0
9/4/14,0
9/5/14,0
9/6/14,0
9/7/14,0
9/8/14,0
9/9/14,0
9/10/14,0
9/11/14,0
9/12/14,0
9/13/14,0
9/14/14,0
9/15/14,0
9/16/14,0
9/17/14,0
9/18/14,0
9/19/14,0
9/20/14,0
9/21/14,0
9/22/14,0
9/23/14,0
9/24/14,0
9/25/14,0
9/26/14,0
9/27/14,0
9/28/14,0
9/29/14,0
9/30/14,0
10/1/14,0
10/2/14,0
10/3/14,0
10/4/14,0
10/5/14,0
10/6/14,0
10/7/14,0
10/8/14,0
10/9/14,0
10/10/14,0
10/11/14,0
10/12/14,0
10/13/14,0
10/14/14,0
10/15/14,0
10/16/14,0
10/17/14,0
10/18/14,0
10/19/14,0
10/20/14,0
10/21/14,0
10/22/14,0
10/23/14,0
10/24/14,0
10/25/14,0
10/26/14,0
10/27/14,0
10/28/14,0
10/29/14,0
10/30/14,0
10/31/14,0
11/1/14,0
11/2/14,0
11/3/14,0
11/4/14,0
11/5/14,0
11/6/14,0
11/7/14,0
11/8/14,0
11/9/14,0
11/10/14,0
11/11/14,0
11/12/14,0
11/13/14,0
11/14/14,0
11/15/14,0
11/16/14,0
11/17/14,0
11/18/14,0
11/19/14,0
11/20/14,0
11/21/14,0
11/22/14,0
11/23/14,0
11/24/14,0
11/25/14,0
11/26/14,0
11/27/14,0
11/28/14,0
11/29/14,71
11/30/14,147
12/1/14,259
12/2/14,371
12/3/14,774
12/4/14,"1,868"
12/5/14,"2,273"
12/6/14,532
12/7/14,39
12/8/14,23
12/9/14,24
12/10/14,40
12/11/14,22
12/12/14,23
12/13/14,40
12/14/14,54
12/15/14,62
12/16/14,127
12/17/14,58
12/18/14,8
12/19/14,7
12/20/14,10
12/21/14,8
12/22/14,7
12/23/14,8
12/24/14,9
12/25/14,10
12/26/14,8
12/27/14,12
12/28/14,12
12/29/14,15
12/30/14,10
12/31/14,9
,"6,940"

